level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,1,1,1,14,0,133,1259,4034,78,-1.0,
5,1,1,1,14,1,133,1259,66,53,96.510208,26
5,1,1,1,14,2,372,1260,66,53,96.519516,62
5,1,1,1,14,3,576,1264,101,54,73.325172,3266
5,1,1,1,14,4,884,1267,32,52,97.015045,6
5,1,1,1,14,5,1106,1268,33,54,92.419739,5
5,1,1,1,14,6,1279,1301,62,6,89.370087,-
5,1,1,1,14,7,1498,1268,33,54,96.413422,3
5,1,1,1,14,8,1686,1268,33,54,93.301804,4
5,1,1,1,14,9,1824,1305,64,5,91.343254,-
5,1,1,1,14,10,2081,1274,29,54,97.016663,4
5,1,1,1,14,11,2269,1276,31,53,96.873978,5
5,1,1,1,14,12,2458,1277,33,53,96.521751,3
5,1,1,1,14,13,2664,1278,67,54,95.756111,25
5,1,1,1,14,14,2886,1281,68,53,96.871117,58
5,1,1,1,14,15,3110,1283,66,52,96.964989,59
5,1,1,1,14,16,3366,1282,32,53,96.329918,4
5,1,1,1,14,17,3525,1283,64,54,96.006088,10
5,1,1,1,14,18,3664,1282,64,53,92.939514,16
5,1,1,1,14,19,3801,1318,65,5,92.939514,-
5,1,1,1,14,20,3959,1314,65,7,92.695839,-
5,1,1,1,14,21,4112,1291,55,17,92.469482,-
4,1,1,1,15,0,133,1465,4035,80,-1.0,
5,1,1,1,15,1,133,1465,68,53,95.517754,83
5,1,1,1,15,2,339,1467,100,53,96.080116,209
5,1,1,1,15,3,610,1471,67,53,96.920853,86
5,1,1,1,15,4,849,1473,68,53,96.327667,22
5,1,1,1,15,5,1072,1476,66,52,96.387566,27
5,1,1,1,15,6,1279,1476,64,53,96.804352,17
5,1,1,1,15,7,1465,1475,66,55,96.585403,15
5,1,1,1,15,8,1654,1476,65,52,95.872078,16
5,1,1,1,15,9,1859,1480,29,53,96.929031,1
5,1,1,1,15,10,2046,1482,65,53,96.464348,26
5,1,1,1,15,11,2235,1484,64,54,94.457863,21
5,1,1,1,15,12,2426,1485,62,52,96.580345,11
5,1,1,1,15,13,2664,1486,67,53,96.192055,64
5,1,1,1,15,14,2855,1488,99,53,95.588455,199
5,1,1,1,15,15,3111,1490,64,53,96.175186,91
5,1,1,1,15,16,3333,1491,65,53,96.421143,35
5,1,1,1,15,17,3522,1491,67,54,96.698395,44
5,1,1,1,15,18,3696,1493,32,52,93.282867,3
5,1,1,1,15,19,3803,1527,63,5,92.886703,-
5,1,1,1,15,20,3959,1522,65,9,92.54747,-
5,1,1,1,15,21,4113,1498,55,17,92.943665,-
4,1,1,1,16,0,134,1533,4035,84,-1.0,
5,1,1,1,16,1,134,1533,65,54,96.607857,31
5,1,1,1,16,2,374,1535,65,54,96.88298,67
5,1,1,1,16,3,612,1540,68,53,96.213272,20
5,1,1,1,16,4,853,1542,64,53,96.922295,16
5,1,1,1,16,5,1073,1544,67,53,96.811218,24
5,1,1,1,16,6,1278,1545,67,53,96.542236,34
5,1,1,1,16,7,1467,1545,64,52,96.889671,12
5,1,1,1,16,8,1687,1545,33,53,91.355927,5
5,1,1,1,16,9,1827,1580,63,7,91.355927,-
5,1,1,1,16,10,2050,1551,62,53,96.492294,12
5,1,1,1,16,11,2238,1554,63,52,96.640594,15
5,1,1,1,16,12,2424,1555,68,53,96.728249,36
5,1,1,1,16,13,2665,1556,66,53,96.632263,23
5,1,1,1,16,14,2887,1558,64,53,96.321793,71
5,1,1,1,16,15,3112,1560,66,52,96.086678,18
5,1,1,1,16,16,3335,1561,63,53,96.706619,10
5,1,1,1,16,17,3559,1562,30,55,96.573875,7
5,1,1,1,16,18,3699,1562,26,52,92.682068,1
5,1,1,1,16,19,3803,1597,63,4,91.85495,-
5,1,1,1,16,20,3960,1591,64,9,91.885902,-
5,1,1,1,16,21,4114,1566,55,17,91.739891,-
4,1,1,1,17,0,103,1603,4066,83,-1.0,
5,1,1,1,17,1,103,1603,99,53,96.732002,138
5,1,1,1,17,2,339,1604,100,53,94.944748,262
5,1,1,1,17,3,578,1609,100,54,90.407898,159
5,1,1,1,17,4,850,1612,67,51,95.437965,82
5,1,1,1,17,5,1040,1614,100,52,95.437965,112
5,1,1,1,17,6,1246,1614,99,53,96.288498,174
5,1,1,1,17,7,1500,1614,31,53,96.890236,7
5,1,1,1,17,8,1656,1615,65,53,93.139038,15
5,1,1,1,17,9,1826,1650,64,4,91.935242,-
5,1,1,1,17,10,2048,1621,64,53,96.458267,70
5,1,1,1,17,11,2204,1622,97,53,96.190918,119
5,1,1,1,17,12,2393,1624,100,53,96.379265,164
5,1,1,1,17,13,2637,1625,94,54,95.927818,143
5,1,1,1,17,14,2852,1627,102,53,95.523262,240
5,1,1,1,17,15,3079,1629,98,53,91.897675,169
5,1,1,1,17,16,3332,1631,66,53,96.846001,42
5,1,1,1,17,17,3523,1632,66,54,93.874786,53
5,1,1,1,17,18,3696,1634,33,51,93.262314,8
5,1,1,1,17,19,3803,1666,65,5,92.87455,-
5,1,1,1,17,20,3960,1661,65,8,92.87455,-
5,1,1,1,17,21,4113,1635,56,17,82.791389,-
4,1,1,1,18,0,134,1673,4034,127,-1.0,
5,1,1,1,18,1,134,1673,64,52,96.479568,11
5,1,1,1,18,2,373,1674,66,53,95.773613,29
5,1,1,1,18,3,645,1678,32,52,96.506683,9
5,1,1,1,18,4,885,1680,32,53,97.005882,4
5,1,1,1,18,5,1072,1683,70,54,96.337326,20
5,1,1,1,18,6,1311,1684,32,52,93.303459,6
5,1,1,1,18,7,1467,1715,64,6,93.173004,-
5,1,1,1,18,8,1687,1684,33,52,93.292931,3
5,1,1,1,18,9,1826,1720,64,5,91.487785,-
5,1,1,1,18,10,2081,1690,31,50,96.792534,2
5,1,1,1,18,11,2270,1694,30,52,93.30484,7
5,1,1,1,18,12,2426,1726,64,33,91.438446,-
5,1,1,1,18,13,2667,1697,64,51,96.831413,13
5,1,1,1,18,14,2886,1698,68,52,96.791092,39
5,1,1,1,18,15,3112,1699,66,52,96.915329,15
5,1,1,1,18,16,3367,1702,31,52,96.87635,3
5,1,1,1,18,17,3557,1702,32,53,96.549126,8
5,1,1,1,18,18,3697,1703,32,51,93.285873,6
5,1,1,1,18,19,3801,1737,64,5,93.101601,-
5,1,1,1,18,20,3959,1732,64,8,93.051605,-
5,1,1,1,18,21,4112,1705,56,95,93.734222,7
4,1,1,1,19,0,134,1741,3891,86,-1.0,
5,1,1,1,19,1,134,1741,66,55,96.715492,32
5,1,1,1,19,2,373,1743,67,54,96.87986,76
5,1,1,1,19,3,612,1747,65,55,96.449501,37
5,1,1,1,19,4,884,1749,36,55,96.682907,4
5,1,1,1,19,5,1108,1754,32,52,96.618576,5
5,1,1,1,19,6,1312,1753,33,54,96.176849,3
5,1,1,1,19,7,1498,1752,35,54,96.878723,4
5,1,1,1,19,8,1686,1753,33,54,93.303001,7
5,1,1,1,19,9,1826,1790,64,5,88.481606,-
5,1,1,1,19,10,2082,1758,30,54,96.806976,5
5,1,1,1,19,11,2270,1762,31,54,96.447746,3
5,1,1,1,19,12,2427,1764,65,53,96.881805,15
5,1,1,1,19,13,2665,1764,67,54,96.230667,27
5,1,1,1,19,14,2888,1767,65,54,96.539238,71
5,1,1,1,19,15,3110,1769,68,54,95.802124,25
5,1,1,1,19,16,3368,1772,30,53,96.720894,5
5,1,1,1,19,17,3525,1772,64,53,96.766151,16
5,1,1,1,19,18,3695,1773,34,54,96.857361,8
5,1,1,1,19,19,3835,1774,33,53,96.717697,3
5,1,1,1,19,20,3994,1769,31,54,96.955315,6
4,1,1,1,20,0,133,1948,4035,126,-1.0,
5,1,1,1,20,1,133,1948,69,54,96.768677,40
5,1,1,1,20,2,372,1949,68,55,96.755524,85
5,1,1,1,20,3,613,1954,66,54,96.851982,15
5,1,1,1,20,4,854,1957,64,53,96.918228,16
5,1,1,1,20,5,1073,1959,66,54,96.627914,23
5,1,1,1,20,6,1312,1960,33,54,96.8293,5
5,1,1,1,20,7,1498,1960,33,53,92.765305,3
5,1,1,1,20,8,1656,1960,59,53,93.220787,11
5,1,1,1,20,9,1826,1996,65,5,90.740997,-
5,1,1,1,20,10,2052,1965,60,53,95.809624,19
5,1,1,1,20,11,2237,1969,64,53,96.618362,21
5,1,1,1,20,12,2459,1971,33,52,96.885712,3
5,1,1,1,20,13,2664,1971,68,54,96.014,34
5,1,1,1,20,14,2887,1974,67,54,96.951073,76
5,1,1,1,20,15,3112,1977,64,53,96.942497,17
5,1,1,1,20,16,3368,1980,30,51,96.464035,9
5,1,1,1,20,17,3557,1980,32,53,93.199448,8
5,1,1,1,20,18,3663,2013,64,4,91.370422,-
5,1,1,1,20,19,3802,2016,63,4,92.217148,-
5,1,1,1,20,20,3960,2010,64,9,91.953087,-
5,1,1,1,20,21,4113,1982,55,92,68.544525,94
4,1,1,1,21,0,135,2018,4026,108,-1.0,
5,1,1,1,21,1,135,2018,67,53,95.283234,65
5,1,1,1,21,2,341,2020,99,53,96.121323,168
5,1,1,1,21,3,610,2023,67,54,96.763489,47
5,1,1,1,21,4,854,2026,64,53,96.663422,18
5,1,1,1,21,5,1073,2029,66,53,96.60376,26
5,1,1,1,21,6,1312,2030,32,52,96.743408,7
5,1,1,1,21,7,1467,2029,61,53,96.38736,11
5,1,1,1,21,8,1655,2031,62,51,93.246414,11
5,1,1,1,21,9,1826,2065,64,6,92.199486,-
5,1,1,1,21,10,2049,2034,63,53,96.118477,10
5,1,1,1,21,11,2237,2038,64,53,96.420044,22
5,1,1,1,21,12,2428,2040,64,53,95.681648,13
5,1,1,1,21,13,2666,2041,66,52,96.46756,62
5,1,1,1,21,14,2855,2044,96,53,96.46756,161
5,1,1,1,21,15,3109,2047,66,53,96.376953,41
5,1,1,1,21,16,3335,2050,63,51,95.869598,16
5,1,1,1,21,17,3525,2050,64,53,93.010864,18
5,1,1,1,21,18,3663,2082,65,5,92.07917,-
5,1,1,1,21,19,3803,2052,65,53,95.445915,18
5,1,1,1,21,20,3957,2049,68,55,95.961266,32
5,1,1,1,21,21,4142,2091,19,35,90.231972,7
4,1,1,1,22,0,135,2088,4033,85,-1.0,
5,1,1,1,22,1,135,2088,67,51,96.358536,63
5,1,1,1,22,2,340,2088,100,53,96.236862,122
5,1,1,1,22,3,612,2094,68,53,96.947121,90
5,1,1,1,22,4,852,2096,68,52,95.685013,20
5,1,1,1,22,5,1074,2097,67,53,95.685013,13
5,1,1,1,22,6,1312,2100,32,52,96.232506,5
5,1,1,1,22,7,1500,2099,31,53,96.871506,6
5,1,1,1,22,8,1655,2100,67,52,96.153267,10
5,1,1,1,22,9,1858,2104,33,52,96.291023,3
5,1,1,1,22,10,2050,2106,62,50,96.830299,12
5,1,1,1,22,11,2237,2109,64,51,96.543472,16
5,1,1,1,22,12,2425,2110,67,52,95.226913,22
5,1,1,1,22,13,2666,2111,66,53,96.36377,65
5,1,1,1,22,14,2857,2115,96,51,96.182739,109
5,1,1,1,22,15,3095,2117,83,53,94.289207,70
5,1,1,1,22,16,3333,2120,65,51,95.606133,26
5,1,1,1,22,17,3525,2120,64,52,91.512024,13
5,1,1,1,22,18,3664,2152,64,5,91.512024,-
5,1,1,1,22,19,3835,2122,33,51,94.386604,3
5,1,1,1,22,20,3992,2120,33,52,95.799782,2
5,1,1,1,22,21,4141,2108,27,37,95.083344,7
4,1,1,1,23,0,135,2156,4031,85,-1.0,
5,1,1,1,23,1,135,2156,66,53,96.496773,32
5,1,1,1,23,2,373,2157,67,54,96.570351,85
